dataset,dialogue_id,utterance_idx,speaker,split,utterance,gpt-4o_intention,donation_amount,donation_made,traditional_summary,scm_summary,scd_summary
P4G,20180723-120746_371_live,0,ER,train,Hello would you please donate to help save the children?,Requesting a donation to help save children,0.0,0,"The conversation involves a representative (ER) asking for a donation to ""Save the Children,"" an organization focused on children's rights to health, education, and safety. The potential donor (EE) inquires about the organization's history.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by politely requesting a donation for a charitable cause, indicating a caring and altruistic intent. Their competence is high as they provide clear information about the organization's mission and purpose, showing knowledge and confidence in their cause.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE's warmth is low as their responses are factual and lack expressions of empathy or personal engagement. Their competence is high, as they ask specific, relevant questions that indicate a thoughtful and analytical approach to evaluating the organization.","The conversation begins with ER making a direct request for a donation, indicating a persuasive intent. EE responds with curiosity, seeking more information about the organization. ER provides additional details to build credibility and trust. EE's follow-up question suggests a continued interest but also a need for further assurance or validation before committing to a donation. The exchange reflects a dynamic of persuasion met with cautious inquiry."
P4G,20180723-120746_371_live,1,EE,train,What children organization?,Seeking more information about the organization,0.0,0,"The conversation involves a representative (ER) asking for a donation to ""Save the Children,"" an organization focused on children's rights to health, education, and safety. The potential donor (EE) inquires about the organization's history.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by politely requesting a donation for a charitable cause, indicating a caring and altruistic intent. Their competence is high as they provide clear information about the organization's mission and purpose, showing knowledge and confidence in their cause.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE's warmth is low as their responses are factual and lack expressions of empathy or personal engagement. Their competence is high, as they ask specific, relevant questions that indicate a thoughtful and analytical approach to evaluating the organization.","The conversation begins with ER making a direct request for a donation, indicating a persuasive intent. EE responds with curiosity, seeking more information about the organization. ER provides additional details to build credibility and trust. EE's follow-up question suggests a continued interest but also a need for further assurance or validation before committing to a donation. The exchange reflects a dynamic of persuasion met with cautious inquiry."
P4G,20180723-120746_371_live,2,ER,train,"This organization is called Save the Children and your donation can help ensure children't rights to health, education, and safety.",Providing information about the organization and its mission,0.0,0,"The conversation involves a representative (ER) asking for a donation to ""Save the Children,"" an organization focused on children's rights to health, education, and safety. The potential donor (EE) inquires about the organization's history.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by politely requesting a donation for a charitable cause, indicating a caring and altruistic intent. Their competence is high as they provide clear information about the organization's mission and purpose, showing knowledge and confidence in their cause.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE's warmth is low as their responses are factual and lack expressions of empathy or personal engagement. Their competence is high, as they ask specific, relevant questions that indicate a thoughtful and analytical approach to evaluating the organization.","The conversation begins with ER making a direct request for a donation, indicating a persuasive intent. EE responds with curiosity, seeking more information about the organization. ER provides additional details to build credibility and trust. EE's follow-up question suggests a continued interest but also a need for further assurance or validation before committing to a donation. The exchange reflects a dynamic of persuasion met with cautious inquiry."
P4G,20180723-120746_371_live,3,EE,train,How long has this charity been around?,Inquiring about the history of the charity,0.0,0,"The conversation involves a representative (ER) asking for a donation to ""Save the Children,"" an organization focused on children's rights to health, education, and safety. The potential donor (EE) inquires about the organization's history.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by politely requesting a donation for a charitable cause, indicating a caring and altruistic intent. Their competence is high as they provide clear information about the organization's mission and purpose, showing knowledge and confidence in their cause.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE's warmth is low as their responses are factual and lack expressions of empathy or personal engagement. Their competence is high, as they ask specific, relevant questions that indicate a thoughtful and analytical approach to evaluating the organization.","The conversation begins with ER making a direct request for a donation, indicating a persuasive intent. EE responds with curiosity, seeking more information about the organization. ER provides additional details to build credibility and trust. EE's follow-up question suggests a continued interest but also a need for further assurance or validation before committing to a donation. The exchange reflects a dynamic of persuasion met with cautious inquiry."
P4G,20180723-121545_265_live,0,ER,test,Hey!,Greeting,0.0,0,"ER is explaining the importance of donating to the Save the Children foundation, a non-governmental organization that promotes children's rights and provides relief in developing countries. EE expresses interest in the charity.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and provides informative details about a charitable organization, demonstrating both warmth through engagement and competence through knowledge sharing.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds positively and shows interest in the topic, indicating warmth. By acknowledging the charity as interesting, EE demonstrates an understanding and appreciation of the information, suggesting competence.","The conversation begins with a friendly greeting and quickly shifts to ER's intention to inform EE about the Save the Children foundation, emphasizing its importance. ER maintains a persuasive and informative tone, focusing on the foundation's mission. EE responds with interest, indicating openness and curiosity about the charity. The interaction reflects ER's goal to raise awareness and potentially persuade EE to consider supporting the cause, while EE remains receptive and engaged."
P4G,20180723-121545_265_live,1,EE,test,"Hi there, how's it going?",Greeting and Inquiry,0.0,0,"ER is explaining the importance of donating to the Save the Children foundation, a non-governmental organization that promotes children's rights and provides relief in developing countries. EE expresses interest in the charity.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and provides informative details about a charitable organization, demonstrating both warmth through engagement and competence through knowledge sharing.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds positively and shows interest in the topic, indicating warmth. By acknowledging the charity as interesting, EE demonstrates an understanding and appreciation of the information, suggesting competence.","The conversation begins with a friendly greeting and quickly shifts to ER's intention to inform EE about the Save the Children foundation, emphasizing its importance. ER maintains a persuasive and informative tone, focusing on the foundation's mission. EE responds with interest, indicating openness and curiosity about the charity. The interaction reflects ER's goal to raise awareness and potentially persuade EE to consider supporting the cause, while EE remains receptive and engaged."
P4G,20180723-121545_265_live,2,ER,test,"So I wanted to explain a little about the Save the Children foundation, and why donating is important..",Introduction and Explanation,0.0,0,"ER is explaining the importance of donating to the Save the Children foundation, a non-governmental organization that promotes children's rights and provides relief in developing countries. EE expresses interest in the charity.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and provides informative details about a charitable organization, demonstrating both warmth through engagement and competence through knowledge sharing.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds positively and shows interest in the topic, indicating warmth. By acknowledging the charity as interesting, EE demonstrates an understanding and appreciation of the information, suggesting competence.","The conversation begins with a friendly greeting and quickly shifts to ER's intention to inform EE about the Save the Children foundation, emphasizing its importance. ER maintains a persuasive and informative tone, focusing on the foundation's mission. EE responds with interest, indicating openness and curiosity about the charity. The interaction reflects ER's goal to raise awareness and potentially persuade EE to consider supporting the cause, while EE remains receptive and engaged."
P4G,20180723-121545_265_live,3,ER,test,"It's a non governmental program that promotes the rights of children, and provides relief to these children in developing countries",Explanation,0.0,0,"ER is explaining the importance of donating to the Save the Children foundation, a non-governmental organization that promotes children's rights and provides relief in developing countries. EE expresses interest in the charity.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and provides informative details about a charitable organization, demonstrating both warmth through engagement and competence through knowledge sharing.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds positively and shows interest in the topic, indicating warmth. By acknowledging the charity as interesting, EE demonstrates an understanding and appreciation of the information, suggesting competence.","The conversation begins with a friendly greeting and quickly shifts to ER's intention to inform EE about the Save the Children foundation, emphasizing its importance. ER maintains a persuasive and informative tone, focusing on the foundation's mission. EE responds with interest, indicating openness and curiosity about the charity. The interaction reflects ER's goal to raise awareness and potentially persuade EE to consider supporting the cause, while EE remains receptive and engaged."
P4G,20180723-121545_265_live,4,EE,test,They sound like an interesting charity.,Acknowledgment,0.0,0,"ER is explaining the importance of donating to the Save the Children foundation, a non-governmental organization that promotes children's rights and provides relief in developing countries. EE expresses interest in the charity.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and provides informative details about a charitable organization, demonstrating both warmth through engagement and competence through knowledge sharing.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE responds positively and shows interest in the topic, indicating warmth. By acknowledging the charity as interesting, EE demonstrates an understanding and appreciation of the information, suggesting competence.","The conversation begins with a friendly greeting and quickly shifts to ER's intention to inform EE about the Save the Children foundation, emphasizing its importance. ER maintains a persuasive and informative tone, focusing on the foundation's mission. EE responds with interest, indicating openness and curiosity about the charity. The interaction reflects ER's goal to raise awareness and potentially persuade EE to consider supporting the cause, while EE remains receptive and engaged."
P4G,20180723-122005_335_live,0,ER,train,Have you thought about giving to the Save the Children charity?,To introduce the topic of donating to the Save the Children charity,0.0,0,"ER and EE are discussing the Save the Children charity. EE mentions having donated to them in the past and asks ER for more information about the charity's activities. ER expresses a positive opinion, stating that the organization helps many children.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a suggestion to support a charity, indicating a caring and considerate nature. Their positive opinion about the charity's impact reflects knowledge and understanding, suggesting competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE engages in the conversation by sharing past involvement, showing openness and a friendly demeanor. By asking for more information, EE demonstrates curiosity and a willingness to learn, indicating competence.","The conversation begins with ER suggesting a charitable action, showing a positive sentiment towards the charity. EE responds with past involvement, indicating familiarity but not current engagement. ER maintains a supportive stance, emphasizing the charity's impact. EE's inquiry about the charity's activities suggests curiosity and a potential openness to reconsider involvement, prompting ER to possibly provide more information to persuade EE. The exchange reflects a dynamic of persuasion and inquiry."
P4G,20180723-122005_335_live,1,EE,train,I used to donate to them.,To share past experience with the charity,0.0,0,"ER and EE are discussing the Save the Children charity. EE mentions having donated to them in the past and asks ER for more information about the charity's activities. ER expresses a positive opinion, stating that the organization helps many children.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a suggestion to support a charity, indicating a caring and considerate nature. Their positive opinion about the charity's impact reflects knowledge and understanding, suggesting competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE engages in the conversation by sharing past involvement, showing openness and a friendly demeanor. By asking for more information, EE demonstrates curiosity and a willingness to learn, indicating competence.","The conversation begins with ER suggesting a charitable action, showing a positive sentiment towards the charity. EE responds with past involvement, indicating familiarity but not current engagement. ER maintains a supportive stance, emphasizing the charity's impact. EE's inquiry about the charity's activities suggests curiosity and a potential openness to reconsider involvement, prompting ER to possibly provide more information to persuade EE. The exchange reflects a dynamic of persuasion and inquiry."
P4G,20180723-122005_335_live,2,EE,train,Do you like that charity?,To inquire about the other person's opinion on the charity,0.0,0,"ER and EE are discussing the Save the Children charity. EE mentions having donated to them in the past and asks ER for more information about the charity's activities. ER expresses a positive opinion, stating that the organization helps many children.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a suggestion to support a charity, indicating a caring and considerate nature. Their positive opinion about the charity's impact reflects knowledge and understanding, suggesting competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE engages in the conversation by sharing past involvement, showing openness and a friendly demeanor. By asking for more information, EE demonstrates curiosity and a willingness to learn, indicating competence.","The conversation begins with ER suggesting a charitable action, showing a positive sentiment towards the charity. EE responds with past involvement, indicating familiarity but not current engagement. ER maintains a supportive stance, emphasizing the charity's impact. EE's inquiry about the charity's activities suggests curiosity and a potential openness to reconsider involvement, prompting ER to possibly provide more information to persuade EE. The exchange reflects a dynamic of persuasion and inquiry."
P4G,20180723-122005_335_live,3,ER,train,"I think that they are good, they help a lot of children",To express a positive opinion about the charity,0.0,0,"ER and EE are discussing the Save the Children charity. EE mentions having donated to them in the past and asks ER for more information about the charity's activities. ER expresses a positive opinion, stating that the organization helps many children.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a suggestion to support a charity, indicating a caring and considerate nature. Their positive opinion about the charity's impact reflects knowledge and understanding, suggesting competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE engages in the conversation by sharing past involvement, showing openness and a friendly demeanor. By asking for more information, EE demonstrates curiosity and a willingness to learn, indicating competence.","The conversation begins with ER suggesting a charitable action, showing a positive sentiment towards the charity. EE responds with past involvement, indicating familiarity but not current engagement. ER maintains a supportive stance, emphasizing the charity's impact. EE's inquiry about the charity's activities suggests curiosity and a potential openness to reconsider involvement, prompting ER to possibly provide more information to persuade EE. The exchange reflects a dynamic of persuasion and inquiry."
P4G,20180723-122005_335_live,4,EE,train,What do they do exactly?,To seek more information about the charity's activities,0.0,0,"ER and EE are discussing the Save the Children charity. EE mentions having donated to them in the past and asks ER for more information about the charity's activities. ER expresses a positive opinion, stating that the organization helps many children.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a suggestion to support a charity, indicating a caring and considerate nature. Their positive opinion about the charity's impact reflects knowledge and understanding, suggesting competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE engages in the conversation by sharing past involvement, showing openness and a friendly demeanor. By asking for more information, EE demonstrates curiosity and a willingness to learn, indicating competence.","The conversation begins with ER suggesting a charitable action, showing a positive sentiment towards the charity. EE responds with past involvement, indicating familiarity but not current engagement. ER maintains a supportive stance, emphasizing the charity's impact. EE's inquiry about the charity's activities suggests curiosity and a potential openness to reconsider involvement, prompting ER to possibly provide more information to persuade EE. The exchange reflects a dynamic of persuasion and inquiry."
P4G,20180808-001810_178_live,0,ER,train,Hi!,Greeting,0.0,0,"The conversation is about the charity ""Save the Children."" ER introduces the charity to EE, who is familiar with it and asks if it supports children with cancer.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and shares information about a charity, indicating a helpful and considerate nature. Their ability to introduce a topic and provide information reflects competence.

user2 (EE):
  warmth: high
  competence: low
  explanation: User2 responds politely and shows interest in the topic, suggesting warmth. However, their uncertainty about the charity's purpose and the question posed may indicate a lack of detailed knowledge, reflecting lower competence in this context.","The conversation begins with a friendly greeting and quickly shifts to ER introducing a charity, ""Save the Children,"" aiming to inform or persuade EE about its significance. EE responds with familiarity but uncertainty, indicating some prior knowledge. ER's intention seems to be to clarify or correct EE's understanding, suggesting a dynamic where ER takes on an informative role while EE is open but seeking confirmation about the charity's focus."
P4G,20180808-001810_178_live,1,EE,train,Hi,Greeting,0.0,0,"The conversation is about the charity ""Save the Children."" ER introduces the charity to EE, who is familiar with it and asks if it supports children with cancer.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and shares information about a charity, indicating a helpful and considerate nature. Their ability to introduce a topic and provide information reflects competence.

user2 (EE):
  warmth: high
  competence: low
  explanation: User2 responds politely and shows interest in the topic, suggesting warmth. However, their uncertainty about the charity's purpose and the question posed may indicate a lack of detailed knowledge, reflecting lower competence in this context.","The conversation begins with a friendly greeting and quickly shifts to ER introducing a charity, ""Save the Children,"" aiming to inform or persuade EE about its significance. EE responds with familiarity but uncertainty, indicating some prior knowledge. ER's intention seems to be to clarify or correct EE's understanding, suggesting a dynamic where ER takes on an informative role while EE is open but seeking confirmation about the charity's focus."
P4G,20180808-001810_178_live,2,ER,train,So there's a great charity called Save the Children.,Introducing a topic,0.0,0,"The conversation is about the charity ""Save the Children."" ER introduces the charity to EE, who is familiar with it and asks if it supports children with cancer.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and shares information about a charity, indicating a helpful and considerate nature. Their ability to introduce a topic and provide information reflects competence.

user2 (EE):
  warmth: high
  competence: low
  explanation: User2 responds politely and shows interest in the topic, suggesting warmth. However, their uncertainty about the charity's purpose and the question posed may indicate a lack of detailed knowledge, reflecting lower competence in this context.","The conversation begins with a friendly greeting and quickly shifts to ER introducing a charity, ""Save the Children,"" aiming to inform or persuade EE about its significance. EE responds with familiarity but uncertainty, indicating some prior knowledge. ER's intention seems to be to clarify or correct EE's understanding, suggesting a dynamic where ER takes on an informative role while EE is open but seeking confirmation about the charity's focus."
P4G,20180808-001810_178_live,3,ER,train,HAve you heard of it?,Inquiring about prior knowledge,0.0,0,"The conversation is about the charity ""Save the Children."" ER introduces the charity to EE, who is familiar with it and asks if it supports children with cancer.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and shares information about a charity, indicating a helpful and considerate nature. Their ability to introduce a topic and provide information reflects competence.

user2 (EE):
  warmth: high
  competence: low
  explanation: User2 responds politely and shows interest in the topic, suggesting warmth. However, their uncertainty about the charity's purpose and the question posed may indicate a lack of detailed knowledge, reflecting lower competence in this context.","The conversation begins with a friendly greeting and quickly shifts to ER introducing a charity, ""Save the Children,"" aiming to inform or persuade EE about its significance. EE responds with familiarity but uncertainty, indicating some prior knowledge. ER's intention seems to be to clarify or correct EE's understanding, suggesting a dynamic where ER takes on an informative role while EE is open but seeking confirmation about the charity's focus."
P4G,20180808-001810_178_live,4,EE,train,"yes, I believe i have , is it for kids with Cancer?",Confirming knowledge and seeking clarification,0.0,0,"The conversation is about the charity ""Save the Children."" ER introduces the charity to EE, who is familiar with it and asks if it supports children with cancer.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and shares information about a charity, indicating a helpful and considerate nature. Their ability to introduce a topic and provide information reflects competence.

user2 (EE):
  warmth: high
  competence: low
  explanation: User2 responds politely and shows interest in the topic, suggesting warmth. However, their uncertainty about the charity's purpose and the question posed may indicate a lack of detailed knowledge, reflecting lower competence in this context.","The conversation begins with a friendly greeting and quickly shifts to ER introducing a charity, ""Save the Children,"" aiming to inform or persuade EE about its significance. EE responds with familiarity but uncertainty, indicating some prior knowledge. ER's intention seems to be to clarify or correct EE's understanding, suggesting a dynamic where ER takes on an informative role while EE is open but seeking confirmation about the charity's focus."
P4G,20180808-004203_194_live,0,ER,train,Hi,Greeting,0.0,0,"The conversation involves ER asking EE if they would like to help with an important cause, specifically one that benefits children. EE expresses interest but wants more information about the cause before deciding.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and expresses a desire to help children, indicating high warmth. Their approach to discussing an important cause suggests they are purposeful and capable, reflecting high competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: User2 responds politely and shows openness to the conversation, indicating high warmth. By expressing a conditional interest based on the cause, they demonstrate discernment and thoughtfulness, suggesting high competence.","The conversation begins with ER initiating contact and expressing a desire to engage EE in supporting a cause. EE responds with cautious interest, indicating a willingness to consider involvement depending on the specifics. ER attempts to appeal to EE's emotions by mentioning children, suggesting a strategy to evoke empathy and encourage participation. The interaction reflects an initial probing by ER to gauge EE's openness, followed by a targeted emotional appeal to persuade EE further."
P4G,20180808-004203_194_live,1,EE,train,hello,Greeting,0.0,0,"The conversation involves ER asking EE if they would like to help with an important cause, specifically one that benefits children. EE expresses interest but wants more information about the cause before deciding.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and expresses a desire to help children, indicating high warmth. Their approach to discussing an important cause suggests they are purposeful and capable, reflecting high competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: User2 responds politely and shows openness to the conversation, indicating high warmth. By expressing a conditional interest based on the cause, they demonstrate discernment and thoughtfulness, suggesting high competence.","The conversation begins with ER initiating contact and expressing a desire to engage EE in supporting a cause. EE responds with cautious interest, indicating a willingness to consider involvement depending on the specifics. ER attempts to appeal to EE's emotions by mentioning children, suggesting a strategy to evoke empathy and encourage participation. The interaction reflects an initial probing by ER to gauge EE's openness, followed by a targeted emotional appeal to persuade EE further."
P4G,20180808-004203_194_live,2,ER,train,Would you like to help an important cause?,Requesting participation in a cause,0.0,0,"The conversation involves ER asking EE if they would like to help with an important cause, specifically one that benefits children. EE expresses interest but wants more information about the cause before deciding.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and expresses a desire to help children, indicating high warmth. Their approach to discussing an important cause suggests they are purposeful and capable, reflecting high competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: User2 responds politely and shows openness to the conversation, indicating high warmth. By expressing a conditional interest based on the cause, they demonstrate discernment and thoughtfulness, suggesting high competence.","The conversation begins with ER initiating contact and expressing a desire to engage EE in supporting a cause. EE responds with cautious interest, indicating a willingness to consider involvement depending on the specifics. ER attempts to appeal to EE's emotions by mentioning children, suggesting a strategy to evoke empathy and encourage participation. The interaction reflects an initial probing by ER to gauge EE's openness, followed by a targeted emotional appeal to persuade EE further."
P4G,20180808-004203_194_live,3,EE,train,Depends on which one you are talking about.,Seeking clarification,0.0,0,"The conversation involves ER asking EE if they would like to help with an important cause, specifically one that benefits children. EE expresses interest but wants more information about the cause before deciding.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and expresses a desire to help children, indicating high warmth. Their approach to discussing an important cause suggests they are purposeful and capable, reflecting high competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: User2 responds politely and shows openness to the conversation, indicating high warmth. By expressing a conditional interest based on the cause, they demonstrate discernment and thoughtfulness, suggesting high competence.","The conversation begins with ER initiating contact and expressing a desire to engage EE in supporting a cause. EE responds with cautious interest, indicating a willingness to consider involvement depending on the specifics. ER attempts to appeal to EE's emotions by mentioning children, suggesting a strategy to evoke empathy and encourage participation. The interaction reflects an initial probing by ER to gauge EE's openness, followed by a targeted emotional appeal to persuade EE further."
P4G,20180808-004203_194_live,4,ER,train,It's for children,Providing additional information,0.0,0,"The conversation involves ER asking EE if they would like to help with an important cause, specifically one that benefits children. EE expresses interest but wants more information about the cause before deciding.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and expresses a desire to help children, indicating high warmth. Their approach to discussing an important cause suggests they are purposeful and capable, reflecting high competence.

user2 (EE):
  warmth: high
  competence: high
  explanation: User2 responds politely and shows openness to the conversation, indicating high warmth. By expressing a conditional interest based on the cause, they demonstrate discernment and thoughtfulness, suggesting high competence.","The conversation begins with ER initiating contact and expressing a desire to engage EE in supporting a cause. EE responds with cautious interest, indicating a willingness to consider involvement depending on the specifics. ER attempts to appeal to EE's emotions by mentioning children, suggesting a strategy to evoke empathy and encourage participation. The interaction reflects an initial probing by ER to gauge EE's openness, followed by a targeted emotional appeal to persuade EE further."
P4G,20180808-011341_389_live,0,ER,train,Hello.,Greeting the other person.,0.5,1,"ER wants to share a story with EE, who is ready and willing to listen.","user1 (ER):
  warmth: high
  competence: low
  explanation: ER initiates the conversation with a greeting and expresses a desire to share a story, indicating openness and friendliness. However, there is no display of competence-related behavior or information in the brief interaction.

user2 (EE):
  warmth: high
  competence: low
  explanation: EE responds positively and expresses willingness to listen, showing receptiveness and friendliness. The informal language (""im hear"") suggests a lower level of competence in communication.","The conversation begins with ER expressing a desire to share a story, indicating an intention to communicate something personal or significant. EE responds with openness and willingness to listen, establishing a supportive and attentive atmosphere. The interaction suggests a dynamic where ER is the storyteller and EE is the receptive listener, setting a tone of mutual engagement and understanding as the conversation unfolds."
P4G,20180808-011341_389_live,1,ER,train,I have a story to share with you.,Introducing the purpose of the conversation.,0.5,1,"ER wants to share a story with EE, who is ready and willing to listen.","user1 (ER):
  warmth: high
  competence: low
  explanation: ER initiates the conversation with a greeting and expresses a desire to share a story, indicating openness and friendliness. However, there is no display of competence-related behavior or information in the brief interaction.

user2 (EE):
  warmth: high
  competence: low
  explanation: EE responds positively and expresses willingness to listen, showing receptiveness and friendliness. The informal language (""im hear"") suggests a lower level of competence in communication.","The conversation begins with ER expressing a desire to share a story, indicating an intention to communicate something personal or significant. EE responds with openness and willingness to listen, establishing a supportive and attentive atmosphere. The interaction suggests a dynamic where ER is the storyteller and EE is the receptive listener, setting a tone of mutual engagement and understanding as the conversation unfolds."
P4G,20180808-011341_389_live,2,EE,train,Of course im hear to listen .,Expressing willingness to listen.,0.5,1,"ER wants to share a story with EE, who is ready and willing to listen.","user1 (ER):
  warmth: high
  competence: low
  explanation: ER initiates the conversation with a greeting and expresses a desire to share a story, indicating openness and friendliness. However, there is no display of competence-related behavior or information in the brief interaction.

user2 (EE):
  warmth: high
  competence: low
  explanation: EE responds positively and expresses willingness to listen, showing receptiveness and friendliness. The informal language (""im hear"") suggests a lower level of competence in communication.","The conversation begins with ER expressing a desire to share a story, indicating an intention to communicate something personal or significant. EE responds with openness and willingness to listen, establishing a supportive and attentive atmosphere. The interaction suggests a dynamic where ER is the storyteller and EE is the receptive listener, setting a tone of mutual engagement and understanding as the conversation unfolds."
P4G,20180808-013755_350_live,0,ER,train,Good morning.,Greeting the other participant,2.0,1,"Two individuals, ER and EE, are having a morning conversation. Both are located on the East Coast of the USA and acknowledge being up early.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and shares personal information about their location and time, indicating openness and approachability. Their competence is perceived as high due to their clear communication and engagement in the conversation.

user2 (EE):
  warmth: high
  competence: low
  explanation: User2 reciprocates the greeting, which suggests friendliness and a willingness to connect. However, their response lacks clarity and detail, which may lead to a perception of lower competence in the context of this brief interaction.","The conversation begins with a polite exchange of greetings, establishing a shared context of being in the same location and time zone. The speakers express a mutual acknowledgment of being up early, suggesting a sense of camaraderie. The interaction is friendly and straightforward, with a focus on establishing common ground and a shared experience, without any shift in sentiment or strategy."
P4G,20180808-013755_350_live,1,ER,train,It is early in the morning on the East Coast of the USA where I am.,Providing context about their location and time,2.0,1,"Two individuals, ER and EE, are having a morning conversation. Both are located on the East Coast of the USA and acknowledge being up early.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and shares personal information about their location and time, indicating openness and approachability. Their competence is perceived as high due to their clear communication and engagement in the conversation.

user2 (EE):
  warmth: high
  competence: low
  explanation: User2 reciprocates the greeting, which suggests friendliness and a willingness to connect. However, their response lacks clarity and detail, which may lead to a perception of lower competence in the context of this brief interaction.","The conversation begins with a polite exchange of greetings, establishing a shared context of being in the same location and time zone. The speakers express a mutual acknowledgment of being up early, suggesting a sense of camaraderie. The interaction is friendly and straightforward, with a focus on establishing common ground and a shared experience, without any shift in sentiment or strategy."
P4G,20180808-013755_350_live,2,ER,train,Where are you located,Inquiring about the other participant's location,2.0,1,"Two individuals, ER and EE, are having a morning conversation. Both are located on the East Coast of the USA and acknowledge being up early.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and shares personal information about their location and time, indicating openness and approachability. Their competence is perceived as high due to their clear communication and engagement in the conversation.

user2 (EE):
  warmth: high
  competence: low
  explanation: User2 reciprocates the greeting, which suggests friendliness and a willingness to connect. However, their response lacks clarity and detail, which may lead to a perception of lower competence in the context of this brief interaction.","The conversation begins with a polite exchange of greetings, establishing a shared context of being in the same location and time zone. The speakers express a mutual acknowledgment of being up early, suggesting a sense of camaraderie. The interaction is friendly and straightforward, with a focus on establishing common ground and a shared experience, without any shift in sentiment or strategy."
P4G,20180808-013755_350_live,3,EE,train,good morning too and am also same as your location,Responding to the greeting and sharing their location,2.0,1,"Two individuals, ER and EE, are having a morning conversation. Both are located on the East Coast of the USA and acknowledge being up early.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and shares personal information about their location and time, indicating openness and approachability. Their competence is perceived as high due to their clear communication and engagement in the conversation.

user2 (EE):
  warmth: high
  competence: low
  explanation: User2 reciprocates the greeting, which suggests friendliness and a willingness to connect. However, their response lacks clarity and detail, which may lead to a perception of lower competence in the context of this brief interaction.","The conversation begins with a polite exchange of greetings, establishing a shared context of being in the same location and time zone. The speakers express a mutual acknowledgment of being up early, suggesting a sense of camaraderie. The interaction is friendly and straightforward, with a focus on establishing common ground and a shared experience, without any shift in sentiment or strategy."
