dataset,dialogue_id,utterance_idx,speaker,utterance,gpt-4o_speaker_intention
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,24,worker,We can start somewhere and work from there,Suggest starting negotiations and working towards an agreement
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,25,recruiter,if we are giving on city then Id prefer almost no holidays but a higher pay,Propose a trade-off between holidays and pay
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,26,worker,That's a score of about 50 - I'd like to do better,Express desire for a better offer
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,27,worker,"We can talk this through and agree somewhere, hopefully",Express willingness to negotiate further
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,28,recruiter,ok ha,Acknowledge the negotiation process
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,29,recruiter,its at 52 for me,Provide a counteroffer score
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,30,recruiter,location is a killer,Emphasize the challenge of location
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,31,worker,"hmm, yeah",Acknowledge the challenge
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,32,recruiter,if i make it the manager at google is that a lot better for you?,Offer a potential improvement with a different position
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,33,recruiter,I could give there to keep the other perks low,Propose a trade-off to maintain other perks
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,34,worker,"Yeah, I think that could work more ideally",Express agreement with the proposed improvement
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,35,recruiter,like what is the single best job for you?,Inquire about the worker's ideal job
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,36,recruiter,its minor on my end,Minimize the impact of the change on their end
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,37,worker,Amazon Manager and Google Manager are like neck and neck - either is OK,Express equal preference for two managerial positions
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,38,recruiter,so i'll slightly dock pay,Propose a slight reduction in pay
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,39,recruiter,this is about the same for me,Express that the offer is similar for them
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,40,recruiter,but should be better for you,Express belief that the offer should be better for the worker
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,41,worker,"Yeah, same.",Acknowledge the similarity in offers
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,42,recruiter,damn,Express frustration
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,43,worker,I'll try to propose something here,Express intention to propose a new idea
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,44,worker,How about Seoul but let's up the benefits,Propose a new location with improved benefits
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,45,worker,as you suggested previously,Reference a previous suggestion by the recruiter
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,46,recruiter,ok,Agree to consider the proposal
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,47,recruiter,It has to be google for me as amazon is a 0,Express a strong preference for Google over Amazon
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,48,recruiter,im out of offers,Indicate a lack of further offers
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,49,recruiter,but above is what i could do for that,Clarify the final offer
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,50,worker,"OK, I'll switch the company to Google and see if we can meet somewhere",Express willingness to switch companies and negotiate
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,51,recruiter,i dont know if its better,Express uncertainty about the improvement
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,52,worker,All three of your offers have been like 50 but I'll try here,Express skepticism about the offers but willingness to try
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,53,worker,Is that a score that's acceptable?,Inquire about the acceptability of the score
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,54,recruiter,its below 50 now,Indicate the score is below acceptable
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,55,worker,darn,Express disappointment
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,56,recruiter,the earlier offers were better,Indicate previous offers were better
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,57,recruiter,sorry,Apologize for the situation
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,58,worker,OK I'll look them over,Express intention to review previous offers
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,59,worker,I'll put your first offer on the table.,Propose to reconsider the first offer
ji,9657e86c-1d6e-11e9-8892-6c96cfdf0295,60,recruiter,ok,Acknowledge the proposal
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,0,worker,Hello! How would you like a sales job at Apple?,To offer a sales job opportunity at Apple to the recruiter.
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,1,recruiter,let me check it out.  give me a few seconds please.,To request time to consider the job offer.
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,2,worker,Okay.,To acknowledge the recruiter's request for time.
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,3,recruiter,maybe.  how about salary and holiday time?,To express conditional interest and inquire about salary and holiday details.
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,4,worker,Salary of $38 and 6 days a week holiday?,To provide specific details about the salary and holiday time.
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,5,recruiter,i'd prefer a job at amazon please,To express a preference for a job at Amazon instead.
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,6,worker,How's this?,To seek confirmation or feedback on the offer.
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,7,recruiter,sorry. i can't accept that.  let's keep working towards a deal we can both be happy with.,To decline the offer and suggest continuing negotiations.
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,8,worker,Okay,To acknowledge the recruiter's decision and willingness to continue negotiations.
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,9,worker,"How about a salary of $33, manager position at Facebook, 4 days a week holiday, and in Beijing?",To propose a new job offer with different terms.
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,10,recruiter,i'm checking that out now. thank you,To indicate that they are considering the new offer.
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,11,recruiter,sorry i can't accept that either.  how about if i give you more specifics on what i'm lookiing for.  that will take a couple of minutes please.,To decline the new offer and suggest providing more specific requirements.
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,12,worker,"Yeah, go ahead",To agree to the recruiter's suggestion to provide more specifics.
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,13,recruiter,im not sure it matters but i just noticed i'm supposed to be the recruter here.,To point out a role reversal in the conversation.
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,14,worker,I noticed I misread it too lol,To acknowledge the role reversal and express amusement.
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,15,recruiter,how about this?,To propose a new offer or suggestion.
ji,8f39c1d8-1d6e-11e9-a6a8-6c96cfdf0295,16,worker,Did you press the propose button?,To inquire if the recruiter has formally submitted the proposal.
ji,8a981b14-1d6e-11e9-9319-6c96cfdf0295,0,recruiter,Hi! How are you today?,Initiate conversation and establish rapport
ji,8a981b14-1d6e-11e9-9319-6c96cfdf0295,1,worker,Great! How are you?,Respond politely and reciprocate the question
ji,8a981b14-1d6e-11e9-9319-6c96cfdf0295,2,recruiter,Fabulous!! Are you interested in a job at apple? I have some great ones,Introduce job opportunity and gauge interest
ji,8a981b14-1d6e-11e9-9319-6c96cfdf0295,3,worker,Sure! What do you have available?,Express interest and request more information
ji,8a981b14-1d6e-11e9-9319-6c96cfdf0295,4,recruiter,How about a designer or sales?,Offer specific job roles to the worker
ji,8a981b14-1d6e-11e9-9319-6c96cfdf0295,5,worker,I'm looking more for something in management.,Clarify preference for a management position
ji,8a981b14-1d6e-11e9-9319-6c96cfdf0295,6,recruiter,I can do that at apple,Confirm availability of management positions at Apple
ji,8a981b14-1d6e-11e9-9319-6c96cfdf0295,7,recruiter,How about in Seoul? It's amazing!,Promote the location of Seoul as an attractive option
ji,8a981b14-1d6e-11e9-9319-6c96cfdf0295,8,worker,If you need a designer though I could always do design at google!,Express flexibility and interest in a design role at Google
ji,8a981b14-1d6e-11e9-9319-6c96cfdf0295,9,recruiter,How about seol or sydney for apple management??,Offer management positions in Seoul or Sydney
ji,8a981b14-1d6e-11e9-9319-6c96cfdf0295,10,worker,Seoul is fantastic.,Express preference for Seoul
ji,8a981b14-1d6e-11e9-9319-6c96cfdf0295,11,worker,What are you thinking for weekly holiday?,Inquire about weekly holiday details
ji,8a981b14-1d6e-11e9-9319-6c96cfdf0295,12,recruiter,"What is more important, salary or weekly holiday? In order to complete this i nee da bit higher on one of them",Seek prioritization between salary and holiday to finalize offer
ji,8a981b14-1d6e-11e9-9319-6c96cfdf0295,13,worker,holiday is more important to me,Express preference for holiday over salary
ji,8ad604b0-1d6e-11e9-a48b-6c96cfdf0295,0,worker,hello!,To greet the recruiter and initiate the conversation.
ji,8ad604b0-1d6e-11e9-a48b-6c96cfdf0295,1,recruiter,hey,To acknowledge the greeting and reciprocate.
ji,8ad604b0-1d6e-11e9-a48b-6c96cfdf0295,2,worker,What kind of job opportunities do you have?,To inquire about available job opportunities.
ji,8ad604b0-1d6e-11e9-a48b-6c96cfdf0295,3,recruiter,Well,To acknowledge the question and prepare to respond.
ji,8ad604b0-1d6e-11e9-a48b-6c96cfdf0295,4,worker,Apple would be a great company for me to work for. I have always wanted to use my sales skills with apple,To express a desire to work for Apple and highlight relevant skills.
ji,8ad604b0-1d6e-11e9-a48b-6c96cfdf0295,5,recruiter,ok,To acknowledge the worker's interest and statement.
ji,8ad604b0-1d6e-11e9-a48b-6c96cfdf0295,6,recruiter,feel free to propose to me,To invite the worker to make a proposal or express further interest.
ji,93ac374c-1d6e-11e9-9f57-6c96cfdf0295,0,recruiter,Hello,To initiate the conversation
ji,93ac374c-1d6e-11e9-9f57-6c96cfdf0295,1,recruiter,Hit about,To continue the conversation or prompt a response
ji,93ac374c-1d6e-11e9-9f57-6c96cfdf0295,2,recruiter,To expire,To express urgency or a time-sensitive matter
ji,93ac374c-1d6e-11e9-9f57-6c96cfdf0295,3,recruiter,Help,To request assistance or offer help
ji,93ac374c-1d6e-11e9-9f57-6c96cfdf0295,4,recruiter,0lease,"To politely request something (likely a typo for ""please"")"
ji,93ac374c-1d6e-11e9-9f57-6c96cfdf0295,5,recruiter,Anything,To inquire if there is anything else needed or to offer further assistance
ji,8fdd57ec-1d6e-11e9-bb28-6c96cfdf0295,0,worker,"Hello, how are you doing today?",To greet the recruiter and initiate a friendly conversation.
ji,8fdd57ec-1d6e-11e9-bb28-6c96cfdf0295,1,recruiter,hi,To acknowledge the greeting and reciprocate.
ji,8fdd57ec-1d6e-11e9-bb28-6c96cfdf0295,2,recruiter,good and you?,To express their current state and inquire about the worker's well-being.
ji,8fdd57ec-1d6e-11e9-bb28-6c96cfdf0295,3,worker,I would like to work for apple if possible.,To express a desire to work for Apple.
ji,8fdd57ec-1d6e-11e9-bb28-6c96cfdf0295,4,worker,I am doing well. Getting ready to watch football!,To respond to the recruiter's inquiry and share personal information to build rapport.
ji,8fdd57ec-1d6e-11e9-bb28-6c96cfdf0295,5,recruiter,I have a great paying position as a manager at apple,To inform the worker about a job opportunity at Apple.
ji,8fdd57ec-1d6e-11e9-bb28-6c96cfdf0295,6,recruiter,does that interest you?,To inquire about the worker's interest in the offered position.
ji,8fdd57ec-1d6e-11e9-bb28-6c96cfdf0295,7,worker,I'm more interested in a designer or engineer,To express a preference for a different type of job role.
ji,8fdd57ec-1d6e-11e9-bb28-6c96cfdf0295,8,recruiter,designer doesn't pay quite as well but its a good job',To provide information about the designer position and its benefits.
ji,8fdd57ec-1d6e-11e9-bb28-6c96cfdf0295,9,worker,How about an engineer?,To inquire about the availability and details of an engineer position.
ji,8fdd57ec-1d6e-11e9-bb28-6c96cfdf0295,10,recruiter,engineer pays less,To provide information about the engineer position and its compensation.
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,0,worker,hello,Initiate conversation
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,1,worker,how are you?,Express interest in the recruiter's well-being
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,2,recruiter,"I'm good, let's get you a job!!!!",Express enthusiasm and readiness to help the worker find a job
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,3,recruiter,Tokyo or Sydney?,Inquire about the worker's location preference
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,4,recruiter,?!?,Seek confirmation or urgency in response
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,5,worker,sydney,State preference for Sydney
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,6,recruiter,You like Google Manager!?!?!,Confirm interest in a specific job role at Google
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,7,recruiter,"You no like Amazon, Amazon hiring nothing!!!!!",Express disapproval or skepticism about Amazon's hiring
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,8,worker,i like more to design websites,Express interest in web design
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,9,worker,i'm more of a designer,Clarify professional identity as a designer
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,10,recruiter,You like Google Designer!?!?!,Confirm interest in a designer role at Google
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,11,worker,yeah,Affirm interest in the Google Designer role
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,12,recruiter,"You Design all day, be slave to capitalism!!!",Comment on the nature of the job in a hyperbolic manner
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,13,worker,i design website and stuff,Clarify the type of design work they do
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,14,recruiter,You like the money or the vacation!?!?!,Inquire about the worker's preference between money and vacation
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,15,recruiter,You like one more than other or you love both long time?,Seek further clarification on the worker's preferences
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,16,worker,both actually,Express equal interest in both money and vacation
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,17,worker,do you have anything to propose?,Request a job proposal from the recruiter
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,18,recruiter,This is very bestest deal for good designer like you!!!,Present the job offer as a great opportunity
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,19,recruiter,"One time offer, good job now!!!",Emphasize the urgency and exclusivity of the offer
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,20,worker,can you do one more day of off,Negotiate for an additional day off
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,21,recruiter,"You no like this, you no like anything!",Express frustration or disbelief at the worker's request
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,22,recruiter,I send good deal you spit in face!!!,Express feeling of being undervalued or rejected
ji,9340ea28-1d6e-11e9-b3c2-6c96cfdf0295,23,worker,i need to be with the family more,Explain the need for more family time
ji,941dcbb6-1d6e-11e9-96ab-6c96cfdf0295,0,recruiter,Hello there!,To initiate the conversation and establish contact.
ji,941dcbb6-1d6e-11e9-96ab-6c96cfdf0295,1,worker,Hello,To acknowledge the recruiter's greeting and reciprocate.
ji,941dcbb6-1d6e-11e9-96ab-6c96cfdf0295,2,recruiter,I would like to employ you in the tech industry. Could you work at Google in Design?,To express the desire to employ the worker and inquire about their interest in a specific job opportunity.
ji,941dcbb6-1d6e-11e9-96ab-6c96cfdf0295,3,worker,That sounds great,To express interest and agreement with the job opportunity presented.
ji,941dcbb6-1d6e-11e9-96ab-6c96cfdf0295,4,recruiter,Great!,To acknowledge the worker's positive response and express satisfaction.
ji,941dcbb6-1d6e-11e9-96ab-6c96cfdf0295,5,recruiter,What are the cities you could work in? We have spots in Seoul and Sydney,To gather information about the worker's location preferences for the job.
ji,941dcbb6-1d6e-11e9-96ab-6c96cfdf0295,6,worker,Sydney would be best,To communicate their preference for working in Sydney.
ji,941dcbb6-1d6e-11e9-96ab-6c96cfdf0295,7,recruiter,OK,To acknowledge the worker's location preference.
ji,941dcbb6-1d6e-11e9-96ab-6c96cfdf0295,8,recruiter,"Which is more important, salary or holiday?",To inquire about the worker's priorities regarding job benefits.
ji,941dcbb6-1d6e-11e9-96ab-6c96cfdf0295,9,worker,Holiday,To express a preference for holiday over salary.
ji,941dcbb6-1d6e-11e9-96ab-6c96cfdf0295,10,recruiter,"Alirght, I'll try to get you at least 4",To acknowledge the worker's preference and express an intention to meet their holiday expectations.
ji,941dcbb6-1d6e-11e9-96ab-6c96cfdf0295,11,worker,Perfect,To express satisfaction with the recruiter's response.
ji,8900d124-1d6e-11e9-940a-6c96cfdf0295,0,recruiter,ok,acknowledge the start of the conversation
ji,8900d124-1d6e-11e9-940a-6c96cfdf0295,1,recruiter,so,indicate a continuation or transition in the conversation
ji,8900d124-1d6e-11e9-940a-6c96cfdf0295,2,recruiter,im gonna make a proposal,express intention to present a proposal
ji,8900d124-1d6e-11e9-940a-6c96cfdf0295,3,worker,I'd like to be a manager,express desire for a managerial position
ji,8900d124-1d6e-11e9-940a-6c96cfdf0295,4,recruiter,that will make both of us get paid,indicate the proposal is mutually beneficial
ji,8900d124-1d6e-11e9-940a-6c96cfdf0295,5,worker,Okay,acknowledge understanding or agreement
ji,8900d124-1d6e-11e9-940a-6c96cfdf0295,6,recruiter,i dont care about the bonus,express lack of interest in the bonus
ji,8900d124-1d6e-11e9-940a-6c96cfdf0295,7,recruiter,"the way this is designed, if u want a bonus, the other player will be rejected",explain the consequences of seeking a bonus
ji,8900d124-1d6e-11e9-940a-6c96cfdf0295,8,recruiter,so this is the best offer i can give you,assert the proposal as the best possible offer
ji,8900d124-1d6e-11e9-940a-6c96cfdf0295,9,worker,Really?,express skepticism or seek confirmation
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,0,recruiter,"Hello, how are you tonight?",To greet the worker and initiate the conversation.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,1,worker,im good~,To respond to the greeting and express well-being.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,2,worker,how are you?>,To inquire about the recruiter's well-being.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,3,recruiter,Doing well! Let's see what kind of job we can get for you.,To express well-being and transition to discussing job opportunities.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,4,worker,sounds great!,To express enthusiasm and agreement.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,5,recruiter,What kinds of jobs were you interested in?,To inquire about the worker's job interests.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,6,worker,i am not sure if you have any design openings for anything but google,To express uncertainty and specify a preference for design openings  particularly at Google.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,7,recruiter,How about designer for Facebook?,To suggest an alternative job opportunity at Facebook.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,8,worker,that could work!,To express openness and agreement to the suggestion.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,9,recruiter,Great! Now where would you like to be stationed? Tokyo and Sydney have great options available.,To inquire about the worker's location preference for job placement.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,10,worker,i can do tokyo if you want,To express willingness to be stationed in Tokyo.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,11,recruiter,If that is good for you then great!,To confirm the worker's choice and express approval.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,12,worker,that works,To confirm agreement with the location choice.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,13,recruiter,Now for the benefits and salary do you have a preference?,To inquire about the worker's preferences regarding benefits and salary.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,14,worker,"and if there is anyway i can get more holidays and less pay, i would be open to that",To express a preference for more holidays in exchange for less pay.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,15,recruiter,"Sure thing, I'll draft a proposal and we can go from there.",To agree to the worker's preference and propose drafting a proposal.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,16,worker,awesome!,To express enthusiasm and approval.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,17,recruiter,Is this a fair balance?,To seek confirmation on the fairness of the proposed balance.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,18,worker,"that is very fair... just out of curiosity, i am not sure what this does on your end but would this work too or does this mess your side up?",To express agreement and inquire about the impact of the proposal on the recruiter's side.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,19,recruiter,That works for me.,To confirm that the proposal works for them.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,20,worker,awesome!,To express enthusiasm and approval.
ji,90e80b9e-1d6e-11e9-b051-6c96cfdf0295,21,recruiter,Have a great night!,To conclude the conversation with a farewell.
ji,96a95c2e-1d6e-11e9-b225-6c96cfdf0295,0,recruiter,"Hey, how's it going?",Initiate conversation and establish rapport
ji,96a95c2e-1d6e-11e9-b225-6c96cfdf0295,1,worker,Hello!,Respond to greeting and acknowledge presence
ji,96a95c2e-1d6e-11e9-b225-6c96cfdf0295,2,recruiter,Would you be interested in working for FaceBook or Apple?,Inquire about worker's interest in job opportunities
ji,96a95c2e-1d6e-11e9-b225-6c96cfdf0295,3,worker,Facebook - Manager please,Express preference for a specific job position
ji,96a95c2e-1d6e-11e9-b225-6c96cfdf0295,4,recruiter,Would there be any other positions you would be okay with? I don't think I can do FaceBook manager.,Clarify limitations and explore other possibilities
ji,96a95c2e-1d6e-11e9-b225-6c96cfdf0295,5,recruiter,I can be flexible with your salary and holidays.,Offer flexibility to entice interest
ji,96a95c2e-1d6e-11e9-b225-6c96cfdf0295,6,worker,The rest doesn't matter,Indicate that other factors are not important
ji,96a95c2e-1d6e-11e9-b225-6c96cfdf0295,7,recruiter,What about a sales position at FaceBook or Apple?,Propose alternative job positions
ji,96a95c2e-1d6e-11e9-b225-6c96cfdf0295,8,worker,No thank you,Politely decline the offer
ji,96a95c2e-1d6e-11e9-b225-6c96cfdf0295,9,recruiter,Are there are designer positions you'd be willing to take? At any company? I have openings that would well well for all 4 companies.,Explore further options and express willingness to accommodate
ji,96a95c2e-1d6e-11e9-b225-6c96cfdf0295,10,recruiter,work well*,Correct a typographical error
ji,96a95c2e-1d6e-11e9-b225-6c96cfdf0295,11,worker,Thoughts?,Seek clarification or feedback on the recruiter's proposal
ji,96a95c2e-1d6e-11e9-b225-6c96cfdf0295,12,recruiter,That's a hard hit for me in a few areas. How about this?,Express difficulty and propose to negotiate further
ji,8e8d591e-1d6e-11e9-8b26-6c96cfdf0295,0,worker,hello,greet the recruiter
ji,8e8d591e-1d6e-11e9-8b26-6c96cfdf0295,1,recruiter,I would like to offer you a job starting at 20.00 per hour,offer a job opportunity to the worker
ji,8e8d591e-1d6e-11e9-8b26-6c96cfdf0295,2,worker,wow,express surprise or disbelief at the offer
ji,8e8d591e-1d6e-11e9-8b26-6c96cfdf0295,3,worker,thats low,express dissatisfaction with the offered wage
ji,8e8d591e-1d6e-11e9-8b26-6c96cfdf0295,4,recruiter,what would you like?,seek the worker's desired wage or conditions
ji,8e8d591e-1d6e-11e9-8b26-6c96cfdf0295,5,worker,i could do that,indicate willingness to accept the offer
ji,8e8d591e-1d6e-11e9-8b26-6c96cfdf0295,6,worker,if you are able to do the rest?,condition acceptance on additional terms being met
ji,8bcb04cc-1d6e-11e9-9ed2-6c96cfdf0295,0,worker,Hello!,Initiate conversation
ji,8bcb04cc-1d6e-11e9-9ed2-6c96cfdf0295,1,recruiter,Hi!,Respond to greeting
ji,8bcb04cc-1d6e-11e9-9ed2-6c96cfdf0295,2,worker,"I'm looking for a position in Sydney, do you have any openings?",Inquire about job openings in Sydney
ji,8bcb04cc-1d6e-11e9-9ed2-6c96cfdf0295,3,recruiter,"Google engineer, sales, designer, Apple engineer",Provide information about available positions
ji,8bcb04cc-1d6e-11e9-9ed2-6c96cfdf0295,4,recruiter,those are the in demand openings,Emphasize the demand for the listed positions
ji,8bcb04cc-1d6e-11e9-9ed2-6c96cfdf0295,5,worker,I'd be willing to take the Google designer opening!,Express interest in a specific job opening
ji,8bcb04cc-1d6e-11e9-9ed2-6c96cfdf0295,6,recruiter,Sydney isn't a priority city so pay and holidays won't be so good,Inform about the limitations of the position in Sydney
ji,8bcb04cc-1d6e-11e9-9ed2-6c96cfdf0295,7,worker,Could the salary be raised any more? 25 is pretty below average for a sales position,Negotiate for a higher salary
ji,8bcb04cc-1d6e-11e9-9ed2-6c96cfdf0295,8,worker,I would like to move out to Australia for a position that's worth it!,Express desire for a worthwhile position in Australia
ji,8bcb04cc-1d6e-11e9-9ed2-6c96cfdf0295,9,recruiter,If you'd like to move to beijing or tokyo salary can go way up,Offer alternative locations with better salary options
ji,8bcb04cc-1d6e-11e9-9ed2-6c96cfdf0295,10,worker,I have family in Sydney so I'd like to stay there,Express preference to stay in Sydney due to family
ji,8bcb04cc-1d6e-11e9-9ed2-6c96cfdf0295,11,recruiter,"I can bump salary to 27, but that's it",Offer a slight increase in salary
ji,8bcb04cc-1d6e-11e9-9ed2-6c96cfdf0295,12,recruiter,I can't bump holidays up,State inability to increase holidays
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,0,worker,I want to get paid well.,Express desire for good compensation
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,1,recruiter,How does 20/hr sound?,Propose a wage offer
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,2,worker,Sounds great,Express agreement with the wage offer
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,3,recruiter,Now how does a manager position at Google sound?,Propose a job opportunity at Google
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,4,worker,Can I work Monday to Friday only?,Inquire about work schedule flexibility
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,5,worker,I'd love that,Express enthusiasm for the job opportunity
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,6,recruiter,I can do Mon-Fri only.,Confirm availability of desired work schedule
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,7,worker,I would like to take that manager position at Google,Express desire to accept the job offer
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,8,recruiter,Would you accept a position in Beijing?,Inquire about willingness to relocate to Beijing
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,9,worker,"Is there something in the US, Canada, Mexico or LatinAmerica?",Inquire about job availability in specific regions
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,10,recruiter,"Unfortunately, I only have openings with that pay scale and schedule out of those areas.",Inform about the lack of job openings in requested regions
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,11,worker,What about Europe?,Inquire about job availability in Europe
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,12,worker,"UK, France, Spain, Germany, Netherlands, Belgium?",Specify preferred European countries for job availability
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,13,recruiter,"I have Tokyo, Seoul, Beijing, or Sydney available.",Inform about available job locations
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,14,worker,I would like to take the Sydney option then,Express desire to accept the job offer in Sydney
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,15,recruiter,"That position is decent, if that is what you would like. Beijing was my best position, but I can work with Sydney if you would like,",Provide feedback on the Sydney position and confirm willingness to accommodate
ji,8b296218-1d6e-11e9-9a96-6c96cfdf0295,16,worker,"Yes, please. I'd like the Sydney job position.",Confirm decision to accept the Sydney job position
